frame_nmr,car_id,vehicle_type,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
2023-11-22 19:56:25.552623,437.0,car,[173.157362351414 84.66311968385537 796.8231335907199 717.4697024096619],[325.4427185058594 351.2534484863281 446.2928771972656 442.5860900878906],0.6237640380859375,RAV-186-B,0.9964332546597914
2023-11-22 19:56:26.196809,437.0,truck,[146.59307574751898 41.163409976239166 814.574864964088 714.1661301997622],[254.67068481445312 283.57867431640625 436.8004150390625 415.612060546875],0.6647118330001831,794-XTG,0.9360563002854525
2023-11-22 19:56:26.775513,437.0,truck,[132.20959168569198 20.80367735138094 826.0800474946218 716.4069675289825],[254.6813507080078 283.5702209472656 436.8002014160156 415.6097717285156],0.6647945642471313,794-XTG,0.9329600564661628
2023-11-22 19:56:27.315808,437.0,truck,[123.92730184256413 10.512412153112336 833.5242859580313 719.3040599707356],[254.681396484375 283.570068359375 436.79986572265625 415.6095275878906],0.6648008227348328,794-XTG,0.9329600564661628
2023-11-22 19:56:27.938938,441.0,car,[119.69855218138565 2.626769981799555 845.6363270503236 717.2362808211881],[314.8098449707031 170.18592834472656 537.9893798828125 350.08648681640625],0.3073400557041168,PEK-96-58,0.9981594355914761
2023-11-22 19:56:28.801910,441.0,car,[121.73390497116196 2.605688820964076 846.9146815976587 716.7713312012561],[314.80828857421875 170.18531799316406 537.9994506835938 350.0847473144531],0.3073233962059021,PEK-96-58,0.9981594355914761
2023-11-22 19:56:29.671134,441.0,car,[122.27692544398582 2.638189917622867 847.0660049579649 716.6420794888661],[314.80694580078125 170.18557739257812 538.0052490234375 350.0845031738281],0.30736348032951355,PEK-96-58,0.9987086656275725
2023-11-22 19:56:34.823164,-1,-1,[-1 -1 -1 -1],[131.79232788085938 291.9118957519531 283.91461181640625 415.0690612792969],0.514927327632904,LHN-121-,0.9986476345173743
2023-11-22 19:56:35.396966,444.0,car,[120.70879864560794 0.5558816180040367 751.3968484518282 718.3982338838849],[131.77052307128906 291.9309387207031 283.9120178222656 415.0761413574219],0.5151446461677551,LHN-121-,0.6466048365718264
2023-11-22 19:56:35.939211,444.0,car,[102.48248908185747 -3.234129218493365 750.7161670249558 729.1385195670282],[131.7684326171875 291.9289245605469 283.9091491699219 415.0740051269531],0.5152286291122437,LHN-121-,0.6466048365718264
2023-11-22 19:56:36.658118,444.0,car,[123.6236046109347 -9.326621403175693 799.7321265420128 729.9141996814935],[338.6441345214844 223.5081024169922 536.1533203125 356.0018005371094],0.5402126312255859,LHN-121-A,0.7631550339600992
2023-11-22 19:56:37.300088,444.0,car,[128.94879940811586 -11.52153157530364 822.2643793963649 729.4421535837639],[338.67919921875 223.5091094970703 536.1432495117188 355.9856262207031],0.5401172637939453,LHN-121-A,0.9246394029409807
2023-11-22 19:56:37.964441,444.0,car,[129.46423670288584 -12.102324697535892 833.4693780242321 728.1203576420882],[338.675537109375 223.5149688720703 536.1414794921875 355.989013671875],0.5402741432189941,LHN-121-A,0.9182259371608524
